UMAP_1,UMAP_2,NetworkNum
-4.040001,5.853802,1
3.2720492,-6.3858833,1
27.92074,1.5429481,1
27.905407,1.8887937,1
28.031288,1.8998767,1
30.74289,19.48022,1
-2.1933908,2.5599873,1
27.85812,1.7267923,1
28.060305,1.7880601,1
30.956255,19.482533,1
3.5705085,-6.2500534,1
27.943548,1.995963,1
-4.0150537,5.721731,1
27.92332,1.9886106,1
-1.2336254,6.665078,1
28.205914,1.7181937,1
3.849763,5.1739736,1
-0.6684706,28.642906,1
28.203629,1.6575477,1
27.815315,1.9802554,1
28.221952,1.9103578,1
30.806705,19.499546,1
27.991926,1.8651918,1
27.937412,1.8937521,1
-4.1972084,5.8125796,1
28.166523,2.0032022,1
-1.873901,3.041818,1
-4.556696,5.6718874,1
28.185993,1.6509694,1
27.996168,1.6871281,1
28.189592,1.916236,1
28.331484,1.6447159,1
28.072302,1.8538859,1
28.245102,1.8472717,1
28.158102,1.9841117,1
28.122557,1.9124064,1
-2.1403592,6.4204636,1
28.050837,1.8155648,1
-4.697919,5.7401485,1
28.148405,1.9442041,1
28.19701,1.8268349,1
28.145008,1.819682,1
30.829302,19.59895,1
28.040977,1.7903928,1
3.3957512,-6.1851873,11
7.786636,-7.647604,11
7.798684,-7.7298727,11
-4.180276,5.8659596,11
-12.116421,-3.1675382,11
-0.70208865,-13.985109,11
7.902563,-7.529399,11
3.1684444,-6.3632913,11
3.1761005,-6.4744167,11
3.3088684,-6.379629,11
3.3072152,-6.3485327,11
7.8201985,-7.5762224,11
-0.8728205,28.749647,11
-3.964469,5.7585964,11
15.830232,23.23928,11
-3.4611864,5.7086325,11
-0.65334505,-14.0535145,11
16.061146,23.15689,11
16.049938,23.210709,11
30.748663,19.504549,11
7.739506,-7.584149,11
7.7634945,-7.5917907,11
7.6929736,-7.7014003,11
-1.785473,6.0608106,11
-2.1163182,2.566368,11
3.8190994,5.2467704,11
-0.66764003,28.644144,11
15.98522,23.106462,11
16.035799,23.344233,11
-0.7564291,-14.014327,11
7.7256136,-7.6487765,11
7.692362,-7.512219,11
-2.020678,2.5274756,11
-2.2998333,2.4992943,11
-1.2347456,6.612544,11
6.0952864,0.27711233,11
-3.995915,5.742292,11
-12.091672,-3.1431143,11
30.876554,19.655754,11
16.118767,23.223003,11
-2.1890743,2.4739487,11
-4.1942244,5.7535253,11
3.8864205,5.3275886,11
3.9405365,5.384341,11
7.691816,-7.7535334,11
3.8140628,5.231438,11
-2.2469263,2.4391904,11
-0.77133024,28.6144,11
-12.153003,-3.204437,11
16.140839,23.257055,11
-0.7674083,-14.040556,11
4.003522,5.256029,11
28.265436,1.6877743,11
-3.7753885,5.6272793,11
-2.4612713,5.9929833,11
-0.63196045,-14.001116,11
15.964873,23.359945,11
